amt,gender,lat,long,byear,A,B,C,entertainment,food_dining,gas_transport,grocery_net,grocery_pos,health_fitness,home,kids_pets,misc_net,misc_pos,personal_care,shopping_net,shopping_pos,travel,April,Aug,Dec,Feb,Jan,July,June,Nov,Oct,Sept,AK,RI,31,32,21,22,01,02,11,12,Hyper Parameters,F1,AUC,Accuracy,Best Score
1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.846,AUC:0.97,Acc:0.991,0.8461
1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 9}",f1:0.815,AUC:0.968,Acc:0.989,0.8427
1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.832,AUC:0.954,Acc:0.99,0.8421
1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.83,AUC:0.979,Acc:0.99,0.8397
1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.82,AUC:0.979,Acc:0.989,0.8393
1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 10}",f1:0.824,AUC:0.979,Acc:0.989,0.8372
1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.829,AUC:0.968,Acc:0.99,0.8334
1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 11}",f1:0.807,AUC:0.976,Acc:0.988,0.8303
1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 10}",f1:0.824,AUC:0.964,Acc:0.99,0.8291
1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.829,AUC:0.954,Acc:0.99,0.8285
