amt,gender,lat,long,byear,A,B,C,entertainment,food_dining,gas_transport,grocery_net,grocery_pos,health_fitness,home,kids_pets,misc_net,misc_pos,personal_care,shopping_net,shopping_pos,travel,April,Aug,Dec,Feb,Jan,July,June,Nov,Oct,Sept,AK,RI,31,32,21,22,01,02,11,12,Hyper Parameters,F1,AUC,Accuracy,Best Score
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"{'C': 0.1, 'class_weight': {0: 1, 1: 4}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.663,AUC:0.938,Acc:0.982,0.6698
1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"{'C': 0.1, 'class_weight': {0: 1, 1: 4}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.661,AUC:0.93,Acc:0.983,0.6653
1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,"{'C': 0.1, 'class_weight': {0: 1, 1: 5}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.663,AUC:0.941,Acc:0.981,0.6642
1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,"{'C': 0.1, 'class_weight': {0: 1, 1: 4}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.647,AUC:0.934,Acc:0.979,0.6626
1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,"{'C': 0.1, 'class_weight': {0: 1, 1: 4}, 'max_iter': 1000, 'penalty': 'none'}",f1:0.659,AUC:0.935,Acc:0.982,0.6618
1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,"{'C': 0.1, 'class_weight': {0: 1, 1: 4}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.657,AUC:0.92,Acc:0.981,0.6597
1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"{'C': 0.5, 'class_weight': {0: 1, 1: 5}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.658,AUC:0.877,Acc:0.981,0.6595
1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,"{'C': 0.5, 'class_weight': {0: 1, 1: 5}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.658,AUC:0.883,Acc:0.981,0.6584
1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"{'C': 0.1, 'class_weight': {0: 1, 1: 5}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.657,AUC:0.88,Acc:0.981,0.657
1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"{'C': 0.5, 'class_weight': {0: 1, 1: 5}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.657,AUC:0.892,Acc:0.981,0.6568
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,"{'C': 0.5, 'class_weight': {0: 1, 1: 4}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.655,AUC:0.918,Acc:0.982,0.6553
