amt,gender,lat,long,byear,A,B,C,entertainment,food_dining,gas_transport,grocery_net,grocery_pos,health_fitness,home,kids_pets,misc_net,misc_pos,personal_care,shopping_net,shopping_pos,travel,April,Aug,Dec,Feb,Jan,July,June,Nov,Oct,Sept,AK,RI,31,32,21,22,01,02,11,12,Hyper Parameters,F1,AUC,Accuracy,Best Score
1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"{'bootstrap': True, 'class_weight': {0: 1, 1: 3}, 'max_depth': 8, 'n_estimators': 50}",f1:0.78,AUC:0.962,Acc:0.988,0.7843
1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,"{'bootstrap': False, 'class_weight': {0: 1, 1: 3}, 'max_depth': 8, 'n_estimators': 50}",f1:0.776,AUC:0.982,Acc:0.987,0.7774
1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,"{'bootstrap': True, 'class_weight': {0: 1, 1: 2}, 'max_depth': 8, 'n_estimators': 60}",f1:0.763,AUC:0.983,Acc:0.988,0.7657
1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,"{'bootstrap': True, 'class_weight': {0: 1, 1: 2}, 'max_depth': 8, 'n_estimators': 60}",f1:0.75,AUC:0.98,Acc:0.986,0.7576
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"{'bootstrap': False, 'class_weight': {0: 1, 1: 2}, 'max_depth': 8, 'n_estimators': 50}",f1:0.728,AUC:0.97,Acc:0.984,0.7511
1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"{'bootstrap': False, 'class_weight': {0: 1, 1: 2}, 'max_depth': 7, 'n_estimators': 40}",f1:0.73,AUC:0.977,Acc:0.986,0.743
1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,"{'bootstrap': True, 'class_weight': {0: 1, 1: 3}, 'max_depth': 8, 'n_estimators': 40}",f1:0.724,AUC:0.98,Acc:0.985,0.7348
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,"{'bootstrap': True, 'class_weight': {0: 1, 1: 3}, 'max_depth': 8, 'n_estimators': 50}",f1:0.733,AUC:0.971,Acc:0.985,0.7329
1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,"{'bootstrap': False, 'class_weight': {0: 1, 1: 2}, 'max_depth': 8, 'n_estimators': 60}",f1:0.688,AUC:0.968,Acc:0.981,0.7261
1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,"{'bootstrap': True, 'class_weight': {0: 1, 1: 5}, 'max_depth': 6, 'n_estimators': 40}",f1:0.696,AUC:0.974,Acc:0.984,0.7232
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,"{'bootstrap': False, 'class_weight': {0: 1, 1: 2}, 'max_depth': 8, 'n_estimators': 50}",f1:0.703,AUC:0.969,Acc:0.983,0.7211
1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,"{'bootstrap': True, 'class_weight': {0: 1, 1: 2}, 'max_depth': 8, 'n_estimators': 50}",f1:0.707,AUC:0.972,Acc:0.984,0.7142
