amt,gender,lat,long,byear,A,B,C,entertainment,food_dining,gas_transport,grocery_net,grocery_pos,health_fitness,home,kids_pets,misc_net,misc_pos,personal_care,shopping_net,shopping_pos,travel,April,Aug,Dec,Feb,Jan,July,June,Nov,Oct,Sept,AK,RI,31,32,21,22,01,02,11,12,Hyper Parameters,F1,AUC,Accuracy,Best Score
1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.832,AUC:0.987,Acc:0.991,0.8346
1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.827,AUC:0.986,Acc:0.991,0.8267
1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 40}",f1:0.819,AUC:0.986,Acc:0.99,0.8209
1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 40}",f1:0.8,AUC:0.986,Acc:0.989,0.8011
1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 40}",f1:0.792,AUC:0.987,Acc:0.989,0.7988
1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.792,AUC:0.985,Acc:0.989,0.7921
1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 50}",f1:0.788,AUC:0.981,Acc:0.989,0.7894
1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.782,AUC:0.982,Acc:0.988,0.7888
1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 50}",f1:0.786,AUC:0.984,Acc:0.989,0.7866
1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.769,AUC:0.981,Acc:0.988,0.7769
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.776,AUC:0.985,Acc:0.988,0.7764
1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.774,AUC:0.97,Acc:0.988,0.7764
1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.774,AUC:0.985,Acc:0.988,0.7759
1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 50}",f1:0.775,AUC:0.988,Acc:0.988,0.7757
1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.764,AUC:0.984,Acc:0.988,0.7752
1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}",f1:0.771,AUC:0.987,Acc:0.988,0.7734
1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 40}",f1:0.773,AUC:0.985,Acc:0.988,0.7733
